word	format	onset	duration	onset_flip	offset_flip	duration_flip
+		0.0	10.0	0.0	9.983068943023682	9.983068943023682
Ron		10.0	0.5	9.983068943023682	10.483015060424805	0.49994611740112305
looked		10.5	0.5	10.483015060424805	10.983045101165771	0.5000300407409668
at		11.0	0.5	10.983045101165771	11.483052968978882	0.5000078678131104
his		11.5	0.5	11.483052968978882	11.983010053634644	0.4999570846557617
watch		12.0	0.5	11.983010053634644	12.483212947845459	0.5002028942108154
and		12.5	0.5	12.483212947845459	12.982994079589844	0.49978113174438477
then		13.0	0.5	12.982994079589844	13.483031988143921	0.5000379085540771
glared		13.5	0.5	13.483031988143921	13.982982158660889	0.4999501705169678
furiously		14.0	0.5	13.982982158660889	14.482968091964722	0.499985933303833
at		14.5	0.5	14.482968091964722	14.982970952987671	0.5000028610229492
Hermione		15.0	0.5	14.982970952987671	15.48294711112976	0.49997615814208984
and		15.5	0.5	15.48294711112976	15.982922077178955	0.49997496604919434
Neville.		16.0	0.5	15.982922077178955	16.48306107521057	0.5001389980316162
+		16.5	0.5	16.48306107521057	16.982884168624878	0.49982309341430664
"""If"		17.0	0.5	16.982884168624878	17.48291015625	0.5000259876251221
either		17.5	0.5	17.48291015625	17.982871055603027	0.49996089935302734
of		18.0	0.5	17.982871055603027	18.483114004135132	0.5002429485321045
you		18.5	0.5	18.483114004135132	18.982848167419434	0.49973416328430176
get		19.0	0.5	18.982848167419434	19.482845067977905	0.4999969005584717
us		19.5	0.5	19.482845067977905	19.98281502723694	0.4999699592590332
caught,		20.0	0.5	19.98281502723694	20.483006954193115	0.5001919269561768
I'll		20.5	0.5	20.483006954193115	20.982785940170288	0.49977898597717285
never		21.0	0.5	20.982785940170288	21.482820987701416	0.5000350475311279
rest		21.5	0.5	21.482820987701416	21.982697010040283	0.4998760223388672
until		22.0	0.5	21.982697010040283	22.482722997665405	0.5000259876251221
I've		22.5	0.5	22.482722997665405	22.98274302482605	0.5000200271606445
learned		23.0	0.5	22.98274302482605	23.482733964920044	0.49999094009399414
that		23.5	0.5	23.482733964920044	23.982721090316772	0.4999871253967285
Curse		24.0	0.5	23.982721090316772	24.482845067977905	0.5001239776611328
of		24.5	0.5	24.482845067977905	24.982691049575806	0.4998459815979004
the		25.0	0.5	24.982691049575806	25.482715129852295	0.5000240802764893
Bogies		25.5	0.5	25.482715129852295	25.982670068740845	0.4999549388885498
Quirrell		26.0	0.5	25.982670068740845	26.482975959777832	0.5003058910369873
told		26.5	0.5	26.482975959777832	26.98263907432556	0.4996631145477295
us		27.0	0.5	26.98263907432556	27.482620000839233	0.4999809265136719
about,		27.5	0.5	27.482620000839233	27.982607126235962	0.4999871253967285
and		28.0	0.5	27.982607126235962	28.48252010345459	0.49991297721862793
used		28.5	0.5	28.48252010345459	28.98259711265564	0.5000770092010498
it		29.0	0.5	28.98259711265564	29.482586145401	0.49998903274536133
on		29.5	0.5	29.482586145401	29.982561111450195	0.49997496604919434
"you."""		30.0	0.5	29.982561111450195	30.4824800491333	0.49991893768310547
+		30.5	0.5	30.4824800491333	30.982553958892822	0.5000739097595215
Hermione		31.0	0.5	30.982553958892822	31.48253893852234	0.4999849796295166
opened		31.5	0.5	31.48253893852234	31.98250699043274	0.4999680519104004
her		32.0	0.5	31.98250699043274	32.48243594169617	0.49992895126342773
mouth,		32.5	0.5	32.48243594169617	32.98248505592346	0.5000491142272949
perhaps		33.0	0.5	32.98248505592346	33.482524156570435	0.5000391006469727
to		33.5	0.5	33.482524156570435	33.98245811462402	0.49993395805358887
tell		34.0	0.5	33.98245811462402	34.48236107826233	0.49990296363830566
Ron		34.5	0.5	34.48236107826233	34.982418060302734	0.5000569820404053
exactly		35.0	0.5	34.982418060302734	35.48242998123169	0.5000119209289551
how		35.5	0.5	35.48242998123169	35.98240900039673	0.49997901916503906
to		36.0	0.5	35.98240900039673	36.482430934906006	0.5000219345092773
use		36.5	0.5	36.482430934906006	36.9823739528656	0.4999430179595947
the		37.0	0.5	36.9823739528656	37.48239302635193	0.5000190734863281
Curse		37.5	0.5	37.48239302635193	37.98235297203064	0.49995994567871094
of		38.0	0.5	37.98235297203064	38.48245906829834	0.5001060962677002
the		38.5	0.5	38.48245906829834	38.98239994049072	0.4999408721923828
Bogies,		39.0	0.5	38.98239994049072	39.48284912109375	0.5004491806030273
but		39.5	0.5	39.48284912109375	39.98280906677246	0.49995994567871094
Harry		40.0	0.5	39.98280906677246	40.482824087142944	0.5000150203704834
hissed		40.5	0.5	40.482824087142944	40.98266816139221	0.4998440742492676
at		41.0	0.5	40.98266816139221	41.48248910903931	0.4998209476470947
her		41.5	0.5	41.48248910903931	41.98229002952576	0.4998009204864502
to		42.0	0.5	41.98229002952576	42.48285102844238	0.500560998916626
be		42.5	0.5	42.48285102844238	42.98266315460205	0.49981212615966797
quiet		43.0	0.5	42.98266315460205	43.48268699645996	0.5000238418579102
and		43.5	0.5	43.48268699645996	43.9833869934082	0.5006999969482422
beckoned		44.0	0.5	43.9833869934082	44.48255801200867	0.49917101860046387
them		44.5	0.5	44.48255801200867	44.98262000083923	0.5000619888305664
all		45.0	0.5	44.98262000083923	45.482614040374756	0.49999403953552246
forward.		45.5	0.5	45.482614040374756	45.982622146606445	0.5000081062316895
+		46.0	0.5	45.982622146606445	46.482426166534424	0.4998040199279785
They		46.5	0.5	46.482426166534424	46.98229193687439	0.4998657703399658
flitted		47.0	0.5	46.98229193687439	47.48214316368103	0.4998512268066406
along		47.5	0.5	47.48214316368103	47.98209810256958	0.4999549388885498
corridors		48.0	0.5	47.98209810256958	48.48214602470398	0.5000479221343994
striped		48.5	0.5	48.48214602470398	48.98207902908325	0.49993300437927246
with		49.0	0.5	48.98207902908325	49.48207998275757	0.5000009536743164
bars		49.5	0.5	49.48207998275757	49.982078075408936	0.4999980926513672
of		50.0	0.5	49.982078075408936	50.48208498954773	0.500006914138794
moonlight		50.5	0.5	50.48208498954773	50.98203706741333	0.4999520778656006
from		51.0	0.5	50.98203706741333	51.4820339679718	0.4999969005584717
